seq,event_ts,ingest_ts,asset_id,lat,lon,speed_mph,heading_deg,shipment_ref,geofence_id,geofence_event
1,2026-01-07T00:00:00.000Z,2026-01-07T00:02:00.000Z,TRK-1000,32.7767,-96.797,53,343,SHIP-96,PLANT_DAL,exit
1,2026-01-07T00:00:00.000Z,2026-01-07T00:01:00.000Z,TRK-1001,32.7767,-96.797,47,339,SHIP-97,PLANT_DAL,exit
1,2026-01-07T00:00:00.000Z,2026-01-07T00:02:00.000Z,TRK-1002,32.7767,-96.797,49,69,SHIP-98,PLANT_DAL,exit
1,2026-01-07T00:00:00.000Z,2026-01-07T00:15:00.000Z,TRK-1003,32.7767,-96.797,60,25,,PLANT_DAL,exit
1,2026-01-07T00:00:00.000Z,2026-01-07T00:02:00.000Z,TRK-1004,32.7767,-96.797,61,56,SHIP-100,PLANT_DAL,exit
1,2026-01-07T00:00:00.000Z,2026-01-07T00:04:00.000Z,TRK-1005,32.7767,-96.797,54,246,SHIP-101,PLANT_DAL,exit
1,2026-01-07T00:00:00.000Z,2026-01-07T00:02:00.000Z,TRK-1006,32.7767,-96.797,61,349,SHIP-102,PLANT_DAL,exit
1,2026-01-07T00:00:00.000Z,2026-01-07T00:08:00.000Z,TRK-1007,32.7767,-96.797,57,255,SHIP-103,PLANT_DAL,exit
1,2026-01-07T00:00:00.000Z,2026-01-07T00:05:00.000Z,TRK-1008,32.7767,-96.797,62,217,SHIP-104,PLANT_DAL,exit
1,2026-01-07T00:00:00.000Z,2026-01-07T00:00:00.000Z,TRK-1009,32.7767,-96.797,59,108,SHIP-105,PLANT_DAL,exit
1,2026-01-07T00:00:00.000Z,2026-01-07T00:14:00.000Z,TRK-1010,32.7767,-96.797,48,278,SHIP-106,PLANT_DAL,exit
1,2026-01-07T00:00:00.000Z,2026-01-07T00:04:00.000Z,TRK-1011,32.7767,-96.797,60,297,SHIP-107,PLANT_DAL,exit
2,2026-01-07T01:00:00.000Z,2026-01-07T01:07:00.000Z,TRK-1000,32.782304545454544,-96.78804545454545,57,49,SHIP-96,,
2,2026-01-07T01:00:00.000Z,2026-01-07T01:02:00.000Z,TRK-1001,32.782304545454544,-96.78804545454545,45,8,SHIP-97,,
2,2026-01-07T01:00:00.000Z,2026-01-07T01:12:00.000Z,TRK-1002,32.782304545454544,-96.78804545454545,55,191,,,
2,2026-01-07T01:00:00.000Z,2026-01-07T01:12:00.000Z,TRK-1003,32.656048,-96.739912,48,333,SHIP-99,,
2,2026-01-07T01:00:00.000Z,2026-01-07T01:06:00.000Z,TRK-1004,32.656048,-96.739912,61,109,,,
2,2026-01-07T01:00:00.000Z,2026-01-07T01:04:00.000Z,TRK-1005,32.656048,-96.739912,56,291,,,
2,2026-01-07T01:00:00.000Z,2026-01-07T01:00:00.000Z,TRK-1006,32.642596,-96.864864,57,84,SHIP-102,,
