seq,event_ts,ingest_ts,facility_id,txn_type,sku,qty,shipment_ref,dock_door
1,2026-01-05T00:00:00.000Z,2026-01-05T00:01:00.000Z,DC_DAL,pick,SKU_CHIP,45,,
2,2026-01-05T00:00:00.000Z,2026-01-05T00:07:00.000Z,DC_DAL,pick,SKU_COLA,65,,
3,2026-01-05T00:00:00.000Z,2026-01-05T00:05:00.000Z,DC_DAL,pick,SKU_BAR,29,,
1,2026-01-05T00:00:00.000Z,2026-01-05T00:00:00.000Z,DC_HOU,pick,SKU_CHIP,42,,
2,2026-01-05T00:00:00.000Z,2026-01-05T00:01:00.000Z,DC_HOU,pick,SKU_COLA,60,,
3,2026-01-05T00:00:00.000Z,2026-01-05T00:04:00.000Z,DC_HOU,pick,SKU_BAR,27,,
1,2026-01-05T00:00:00.000Z,2026-01-05T00:03:00.000Z,DC_SAT,pick,SKU_CHIP,32,,
2,2026-01-05T00:00:00.000Z,2026-01-05T00:04:00.000Z,DC_SAT,pick,SKU_COLA,45,,
3,2026-01-05T00:00:00.000Z,2026-01-05T00:06:00.000Z,DC_SAT,pick,SKU_BAR,20,,
1,2026-01-05T00:00:00.000Z,2026-01-05T00:08:00.000Z,DC_OKC,pick,SKU_CHIP,25,,
2,2026-01-05T00:00:00.000Z,2026-01-05T00:03:00.000Z,DC_OKC,pick,SKU_COLA,35,,
3,2026-01-05T00:00:00.000Z,2026-01-05T00:06:00.000Z,DC_OKC,pick,SKU_BAR,16,,
4,2026-01-05T01:00:00.000Z,2026-01-05T01:06:00.000Z,DC_DAL,pick,SKU_CHIP,45,,
5,2026-01-05T01:00:00.000Z,2026-01-05T01:04:00.000Z,DC_DAL,pick,SKU_COLA,65,,
6,2026-01-05T01:00:00.000Z,2026-01-05T01:07:00.000Z,DC_DAL,pick,SKU_BAR,29,,
4,2026-01-05T01:00:00.000Z,2026-01-05T01:02:00.000Z,DC_HOU,pick,SKU_CHIP,42,,
5,2026-01-05T01:00:00.000Z,2026-01-05T01:02:00.000Z,DC_HOU,pick,SKU_COLA,60,,
6,2026-01-05T01:00:00.000Z,2026-01-05T01:00:00.000Z,DC_HOU,pick,SKU_BAR,27,,
4,2026-01-05T01:00:00.000Z,2026-01-05T01:06:00.000Z,DC_SAT,pick,SKU_CHIP,32,,
5,2026-01-05T01:00:00.000Z,2026-01-05T01:04:00.000Z,DC_SAT,pick,SKU_COLA,45,,
6,2026-01-05T01:00:00.000Z,2026-01-05T01:05:00.000Z,DC_SAT,pick,SKU_BAR,20,,
4,2026-01-05T01:00:00.000Z,2026-01-05T01:03:00.000Z,DC_OKC,pick,SKU_CHIP,25,,
5,2026-01-05T01:00:00.000Z,2026-01-05T01:05:00.000Z,DC_OKC,pick,SKU_COLA,35,,
6,2026-01-05T01:00:00.000Z,2026-01-05T01:07:00.000Z,DC_OKC,pick,SKU_BAR,16,,
7,2026-01-05T02:00:00.000Z,2026-01-05T02:06:00.000Z,DC_DAL,pick,SKU_CHIP,45,,
8,2026-01-05T02:00:00.000Z,2026-01-05T02:02:00.000Z,DC_DAL,pick,SKU_COLA,65,,
9,2026-01-05T02:00:00.000Z,2026-01-05T02:08:00.000Z,DC_DAL,pick,SKU_BAR,29,,
7,2026-01-05T02:00:00.000Z,2026-01-05T02:02:00.000Z,DC_HOU,pick,SKU_CHIP,42,,
8,2026-01-05T02:00:00.000Z,2026-01-05T02:02:00.000Z,DC_HOU,pick,SKU_COLA,60,,
9,2026-01-05T02:00:00.000Z,2026-01-05T02:04:00.000Z,DC_HOU,pick,SKU_BAR,27,,
7,2026-01-05T02:00:00.000Z,2026-01-05T02:00:00.000Z,DC_SAT,pick,SKU_CHIP,32,,
8,2026-01-05T02:00:00.000Z,2026-01-05T02:01:00.000Z,DC_SAT,pick,SKU_COLA,45,,
9,2026-01-05T02:00:00.000Z,2026-01-05T02:05:00.000Z,DC_SAT,pick,SKU_BAR,20,,
7,2026-01-05T02:00:00.000Z,2026-01-05T02:02:00.000Z,DC_OKC,pick,SKU_CHIP,25,,
8,2026-01-05T02:00:00.000Z,2026-01-05T02:07:00.000Z,DC_OKC,pick,SKU_COLA,35,,
9,2026-01-05T02:00:00.000Z,2026-01-05T02:06:00.000Z,DC_OKC,pick,SKU_BAR,16,,
10,2026-01-05T03:00:00.000Z,2026-01-05T03:05:00.000Z,DC_DAL,pick,SKU_CHIP,45,,
11,2026-01-05T03:00:00.000Z,2026-01-05T03:08:00.000Z,DC_DAL,pick,SKU_COLA,65,,
12,2026-01-05T03:00:00.000Z,2026-01-05T03:01:00.000Z,DC_DAL,pick,SKU_BAR,29,,
10,2026-01-05T03:00:00.000Z,2026-01-05T03:05:00.000Z,DC_HOU,pick,SKU_CHIP,42,,
11,2026-01-05T03:00:00.000Z,2026-01-05T03:02:00.000Z,DC_HOU,pick,SKU_COLA,60,,
12,2026-01-05T03:00:00.000Z,2026-01-05T03:06:00.000Z,DC_HOU,pick,SKU_BAR,27,,
10,2026-01-05T03:00:00.000Z,2026-01-05T03:01:00.000Z,DC_SAT,pick,SKU_CHIP,32,,
11,2026-01-05T03:00:00.000Z,2026-01-05T03:08:00.000Z,DC_SAT,pick,SKU_COLA,45,,
12,2026-01-05T03:00:00.000Z,2026-01-05T03:04:00.000Z,DC_SAT,pick,SKU_BAR,20,,
10,2026-01-05T03:00:00.000Z,2026-01-05T03:00:00.000Z,DC_OKC,pick,SKU_CHIP,25,,
11,2026-01-05T03:00:00.000Z,2026-01-05T03:07:00.000Z,DC_OKC,pick,SKU_COLA,35,,
12,2026-01-05T03:00:00.000Z,2026-01-05T03:02:00.000Z,DC_OKC,pick,SKU_BAR,16,,
